GroupIndex,measSetComments,probeId,beamstyleIndex,bsIndexTrace,TxFrequencyHz,focusRangeCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,numTxCycles,ElevAperIndex,zStartDistCm,zMeasNum,IsTxAperModulationEn,dumpSwVersion,DTxFreqIndex,IsCPAEn,TxPulseRleA,CpaDelayOffsetClkA,VTxIndex,SysPulserSelA,AI_param
1,Beamstyle_11L4_Intensity,10136142,0,0,4210500,0.5,93.0,93.0,57.71,20,10,5.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
1,Beamstyle_11L4_Intensity,10136142,0,0,4210500,1.0,93.0,93.0,57.71,20,10,11.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
1,Beamstyle_11L4_Intensity,10136142,0,0,4210500,2.0,93.0,93.0,57.71,20,10,21.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
1,Beamstyle_11L4_Intensity,10136142,0,0,4210500,3.0,93.0,93.0,57.71,20,10,32.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
1,Beamstyle_11L4_Intensity,10136142,0,0,4210500,4.0,93.0,93.0,57.71,20,10,43.0,2,2.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2999999523162842
1,Beamstyle_11L4_Intensity,10136142,0,0,4210500,6.0,93.0,93.0,57.71,20,10,66.0,2,2.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.5
1,Beamstyle_11L4_Intensity,10136142,0,0,4210500,9.0,93.0,93.0,57.71,20,10,75.0,2,2.0,0,0.5,115.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.600000023841858
1,Beamstyle_11L4_Intensity,10136142,0,0,4210500,12.0,93.0,93.0,57.71,20,10,77.0,2,2.0,0,0.5,135.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.7000000476837158
2,Beamstyle_11L4_Intensity,10136142,0,0,4210500,0.5,93.0,93.0,57.71,20,10,6.0,2,3.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
2,Beamstyle_11L4_Intensity,10136142,0,0,4210500,1.0,93.0,93.0,57.71,20,10,12.0,2,3.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
2,Beamstyle_11L4_Intensity,10136142,0,0,4210500,2.0,93.0,93.0,57.71,20,10,24.0,2,3.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
2,Beamstyle_11L4_Intensity,10136142,0,0,4210500,3.0,93.0,93.0,57.71,20,10,36.0,2,3.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
2,Beamstyle_11L4_Intensity,10136142,0,0,4210500,4.0,93.0,93.0,57.71,20,10,48.0,2,3.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.5
2,Beamstyle_11L4_Intensity,10136142,0,0,4210500,6.0,93.0,93.0,57.71,20,10,70.0,2,3.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.600000023841858
2,Beamstyle_11L4_Intensity,10136142,0,0,4210500,9.0,93.0,93.0,57.71,20,10,75.0,2,3.0,0,0.5,115.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.7000000476837158
2,Beamstyle_11L4_Intensity,10136142,0,0,4210500,12.0,93.0,93.0,57.71,20,10,77.0,2,3.0,0,0.5,135.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.7999999523162842
3,Beamstyle_11L4_Intensity,10136142,0,0,5333300,0.5,93.0,93.0,57.71,20,10,5.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.100000023841858
3,Beamstyle_11L4_Intensity,10136142,0,0,5333300,1.0,93.0,93.0,57.71,20,10,11.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.100000023841858
3,Beamstyle_11L4_Intensity,10136142,0,0,5333300,2.0,93.0,93.0,57.71,20,10,21.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.100000023841858
3,Beamstyle_11L4_Intensity,10136142,0,0,5333300,3.0,93.0,93.0,57.71,20,10,32.0,2,2.0,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
3,Beamstyle_11L4_Intensity,10136142,0,0,5333300,4.0,93.0,93.0,57.71,20,10,43.0,2,2.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2999999523162842
3,Beamstyle_11L4_Intensity,10136142,0,0,5333300,6.0,93.0,93.0,57.71,20,10,66.0,2,2.0,0,0.5,75.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.5
3,Beamstyle_11L4_Intensity,10136142,0,0,5333300,9.0,93.0,93.0,57.71,20,10,75.0,2,2.0,0,0.5,115.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.600000023841858
3,Beamstyle_11L4_Intensity,10136142,0,0,5333300,12.0,93.0,93.0,57.71,20,10,77.0,2,2.0,0,0.5,135.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.7000000476837158
4,Beamstyle_11L4_Intensity,10136142,0,0,5714300,0.5,93.0,93.0,57.71,20,10,6.0,2,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.100000023841858
4,Beamstyle_11L4_Intensity,10136142,0,0,5714300,1.0,93.0,93.0,57.71,20,10,12.0,2,1.5,0,0.5,45.0,0,2025-11-26,0,0,-1.0,0,1,-1.0,1.2000000476837158
