,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,zt_est
0,B,0,0,22,2,0.5,7,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5333300,56.04,45.0,2.3
1,B,0,0,22,2,1.0,14,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5333300,56.04,45.0,1.1
2,B,0,0,22,2,1.5,21,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5333300,56.04,45.0,1.1
3,B,0,0,22,2,2.0,28,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5333300,56.04,45.0,1.1
4,B,0,0,22,2,3.0,44,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5333300,56.04,45.0,1.3
5,B,0,0,22,2,4.0,48,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5333300,56.04,75.0,1.4
6,B,0,0,22,2,6.0,51,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5333300,56.04,75.0,1.5
7,B,0,0,22,2,8.0,53,2.0,0,0,0,0,,1,,1,1,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5333300,56.04,115.0,1.6
8,B,0,0,23,2,0.5,7,1.5,0,0,0,0,,1,,1,2,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5714300,56.04,45.0,1.2
9,B,0,0,23,2,1.0,14,1.5,0,0,0,0,,1,,1,2,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5714300,56.04,45.0,1.1
10,B,0,0,23,2,1.5,21,1.5,0,0,0,0,,1,,1,2,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5714300,56.04,45.0,1.1
11,B,0,0,23,2,2.0,28,1.5,0,0,0,0,,1,,1,2,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5714300,56.04,45.0,1.1
12,B,0,0,23,2,3.0,37,1.5,0,0,0,0,,1,,1,2,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5714300,56.04,45.0,1.2
13,B,0,0,23,2,4.0,48,1.5,0,0,0,0,,1,,1,2,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5714300,56.04,75.0,1.4
14,B,0,0,23,2,6.0,51,1.5,0,0,0,0,,1,,1,2,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5714300,56.04,75.0,1.5
15,B,0,0,23,2,8.0,53,1.5,0,0,0,0,,1,,1,2,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,5714300,56.04,115.0,1.6
16,B,0,0,24,2,0.5,7,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6153800,56.04,45.0,1.1
17,B,0,0,24,2,1.0,14,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6153800,56.04,45.0,1.1
18,B,0,0,24,2,1.5,21,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6153800,56.04,45.0,1.1
19,B,0,0,24,2,2.0,28,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6153800,56.04,45.0,1.1
20,B,0,0,24,2,3.0,39,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6153800,56.04,45.0,1.2
21,B,0,0,24,2,4.0,42,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6153800,56.04,75.0,1.3
22,B,0,0,24,2,6.0,44,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6153800,56.04,75.0,1.4
23,B,0,0,24,2,8.0,46,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6153800,56.04,115.0,1.5
24,B,0,0,25,2,0.5,7,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6666700,56.04,45.0,1.1
25,B,0,0,25,2,1.0,14,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6666700,56.04,45.0,1.1
26,B,0,0,25,2,1.5,21,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6666700,56.04,45.0,1.1
27,B,0,0,25,2,2.0,28,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6666700,56.04,45.0,1.1
28,B,0,0,25,2,3.0,39,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6666700,56.04,45.0,1.2
29,B,0,0,25,2,4.0,42,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6666700,56.04,75.0,1.3
30,B,0,0,25,2,6.0,44,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6666700,56.04,75.0,1.4
31,B,0,0,25,2,8.0,46,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,6666700,56.04,115.0,1.5
32,B,0,0,27,2,0.5,7,1.5,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,8000000,56.04,45.0,1.1
33,B,0,0,27,2,1.0,14,1.5,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,8000000,56.04,45.0,1.1
34,B,0,0,27,2,1.5,21,1.5,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-09-29,Beamstyle_BPXCC_Intensity,10,0,15,8000000,56.04,45.0,1.1
